playerID,nameFirst,nameLast,birthYear,birthMonth,fullName
almonmi01,Miguel,Almonte,1993,4,Miguel Almonte
almonye01,Yency,Almonte,1994,6,Yency Almonte
almonzo01,Zoilo,Almonte,1989,6,Zoilo Almonte
almoral01,Albert,Almora,1994,4,Albert Almora
alomalu01,Luis,Aloma,1923,6,Luis Aloma
alomaro01,Roberto,Alomar,1968,2,Roberto Alomar
alomasa01,Sandy,Alomar,1943,10,Sandy Alomar
alomasa02,Sandy,Alomar,1966,6,Sandy Alomar
alonspe01,Pete,Alonso,1994,12,Pete Alonso
alonsro01,Rogelio,Alonso,1906,,Rogelio Alonso
alonsyo01,Yonder,Alonso,1987,4,Yonder Alonso
aloufe01,Felipe,Alou,1935,5,Felipe Alou
alouje01,Jesus,Alou,1942,3,Jesus Alou
alouma01,Matty,Alou,1938,12,Matty Alou
aloumo01,Moises,Alou,1966,7,Moises Alou
alperwh01,Whitey,Alpermann,1879,11,Whitey Alpermann
alstode01,Dell,Alston,1952,9,Dell Alston
alstoga01,Garvin,Alston,1971,12,Garvin Alston
alstoto01,Tom,Alston,1926,1,Tom Alston
alstowa01,Walter,Alston,1911,12,Walter Alston
altampo01,Porfi,Altamirano,1952,5,Porfi Altamirano
altavda01,Dan,Altavilla,1992,9,Dan Altavilla
altener01,Ernie,Alten,1894,12,Ernie Alten
altenje01,Jesse,Altenburg,1893,1,Jesse Altenburg
altheaa01,Aaron,Altherr,1991,1,Aaron Altherr
altizda01,Dave,Altizer,1876,11,Dave Altizer
altmage01,George,Altman,1933,3,George Altman
altobjo01,Joe,Altobelli,1932,5,Joe Altobelli
altroni01,Nick,Altrock,1876,9,Nick Altrock
altuvjo01,Jose,Altuve,1990,5,Jose Altuve
aluja01,Jake,Alu,1997,4,Jake Alu
alusige01,George,Alusik,1935,2,George Alusik
alvarab01,Abe,Alvarez,1982,10,Abe Alvarez
alvaran01,Andrew,Alvarez,1999,6,Andrew Alvarez
alvarar01,Armando,Alvarez,1994,7,Armando Alvarez
alvarcl01,Clemente,Alvarez,1968,5,Clemente Alvarez
alvarda01,Dario,Alvarez,1989,1,Dario Alvarez
alvarda02,Dariel,Alvarez,1988,11,Dariel Alvarez
alvared01,Eddy,Alvarez,1990,1,Eddy Alvarez
alvarel01,Elvis,Alvarado,1999,2,Elvis Alvarado
alvarfr01,Francisco,Alvarez,2001,11,Francisco Alvarez
alvarga01,Gabe,Alvarez,1974,3,Gabe Alvarez
alvarhe01,Henderson,Alvarez,1990,4,Henderson Alvarez
alvarjo01,Jose,Alvarez,1956,4,Jose Alvarez
alvarjo02,Jose,Alvarez,1989,5,Jose Alvarez
alvarjo03,Jose,Alvarado,1995,5,Jose Alvarado
alvarju01,Juan,Alvarez,1973,8,Juan Alvarez
alvarlu01,Luis,Alvarado,1949,1,Luis Alvarado
alvarna01,Nacho,Alvarez,2003,4,Nacho Alvarez
alvaror01,Orlando,Alvarez,1952,2,Orlando Alvarez
alvaros01,Ossie,Alvarez,1933,10,Ossie Alvarez
alvarpe01,Pedro,Alvarez,1987,2,Pedro Alvarez
alvarra01,Raúl,Álvarez,1902,,Raúl Álvarez
alvarrj01,R. J.,Alvarez,1991,6,R. J. Alvarez
alvarro01,Rogelio,Alvarez,1938,4,Rogelio Alvarez
alvarta01,Tavo,Alvarez,1971,11,Tavo Alvarez
alvarto01,Tony,Alvarez,1979,5,Tony Alvarez
alvarvi01,Victor,Alvarez,1976,11,Victor Alvarez
alvarwi01,Wilson,Alvarez,1970,3,Wilson Alvarez
alvaryo01,Yordan,Alvarez,1997,6,Yordan Alvarez
alvisma01,Max,Alvis,1938,2,Max Alvis
alvorbi01,Billy,Alvord,1863,8,Billy Alvord
alyeabr01,Brant,Alyea,1940,12,Brant Alyea
alzolad01,Adbert,Alzolay,1995,3,Adbert Alzolay
amadoad01,Adael,Amador,2003,4,Adael Amador
amalfjo01,Joey,Amalfitano,1934,1,Joey Amalfitano
amarari01,Rich,Amaral,1962,4,Rich Amaral
amarial01,Alexi,Amarista,1989,4,Alexi Amarista
amaroru01,Ruben,Amaro,1936,1,Ruben Amaro
amaroru02,Ruben,Amaro,1965,2,Ruben Amaro
amayaja01,Jacob,Amaya,1998,9,Jacob Amaya
amayami01,Miguel,Amaya,1999,3,Miguel Amaya
amblewa01,Wayne,Ambler,1915,11,Wayne Ambler
ambrech01,Chip,Ambres,1979,12,Chip Ambres
ambrihe01,Hector,Ambriz,1984,5,Hector Ambriz
amburtr01,Trey,Amburgey,1994,10,Trey Amburgey
amelued01,Ed,Amelung,1959,4,Ed Amelung
amesre01,Red,Ames,1882,8,Red Ames
amesst01,Steve,Ames,1988,3,Steve Ames
amezaal01,Alfredo,Amezaga,1978,1,Alfredo Amezaga
amoledo01,Doc,Amole,1874,1,Doc Amole
amorosa01,Sandy,Amoros,1930,1,Sandy Amoros
amorvi01,Vicente,Amor,1932,8,Vicente Amor
anckewa01,Walter,Ancker,1893,4,Walter Ancker
ander01,,Anderson,,, Anderson
anderal01,Alf,Anderson,1914,1,Alf Anderson
anderal02,Allan,Anderson,1964,1,Allan Anderson
anderan01,Andy,Anderson,1922,11,Andy Anderson
anderbi01,Bill,Anderson,1895,11,Bill Anderson
anderbi02,Bill,Anderson,1913,1,Bill Anderson
anderbi03,Bill,Anderson,1907,,Bill Anderson
anderbo01,Bob,Anderson,1935,9,Bob Anderson
anderbo02,Bobby,Anderson,1899,2,Bobby Anderson
anderbr01,Brady,Anderson,1964,1,Brady Anderson
anderbr02,Brian,Anderson,1972,4,Brian Anderson
anderbr03,Brian,Anderson,1982,3,Brian Anderson
anderbr04,Brett,Anderson,1988,2,Brett Anderson
anderbr05,Bryan,Anderson,1986,12,Bryan Anderson
anderbr06,Brian,Anderson,1993,5,Brian Anderson
anderbu01,Bud,Anderson,1956,5,Bud Anderson
anderbu02,Bubbles,Anderson,1904,11,Bubbles Anderson
anderc01,C.,Anderson,,,C. Anderson
