Player,playerID,sklearn_AVG,sklearn_R,sklearn_H,sklearn_HR,sklearn_RBI,sklearn_2B,sklearn_SB,sklearn_BB,sklearn_OBP,sklearn_SLG
Corbin Carroll,carroco02,0.243,109,147,25,65,30,35,75,0.354,0.517
Addison Barger,bargead01,0.224,62,106,25,73,25,4,34,0.288,0.436
Freddie Freeman,freemfr01,0.306,86,171,25,79,40,8,69,0.396,0.548
Ian Happ,happia01,0.222,88,138,25,81,31,7,75,0.33,0.442
Jackson Chourio,chourja01,0.28,97,169,25,89,34,21,43,0.321,0.511
Michael Busch,buschmi02,0.225,66,110,25,78,23,2,62,0.335,0.474
Christian Walker,walkech02,0.228,67,126,24,86,26,4,46,0.314,0.452
Elly De La Cruz,delacel01,0.252,105,171,24,80,39,33,58,0.337,0.449
Christian Yelich,yelicch01,0.3,93,156,24,77,35,16,78,0.379,0.477
Jo Adell,adelljo01,0.209,51,88,24,70,15,8,38,0.28,0.452
Pete Crow-Armstrong,crowape01,0.242,93,139,24,82,33,35,39,0.308,0.485
Ozzie Albies,albieoz01,0.264,85,149,23,81,31,10,54,0.315,0.456
William Contreras,contrwi02,0.285,83,150,23,84,32,5,71,0.381,0.475
Michael Toglia,toglimi01,0.169,45,63,23,51,13,5,43,0.285,0.438
Roman Anthony,anthoro01,0.25,85,139,23,69,28,12,66,0.369,0.452
Wilyer Abreu,abreuwi02,0.246,56,95,23,58,21,6,40,0.326,0.461
Matt Wallner,wallnma01,0.205,56,69,23,50,22,3,50,0.325,0.462
Lawrence Butler,butlela01,0.233,77,132,23,70,33,20,53,0.319,0.487
Giancarlo Stanton,stantmi03,0.189,31,54,23,62,13,0,41,0.291,0.503
Spencer Torkelson,torkesp01,0.209,59,98,23,68,19,2,57,0.298,0.429
Bryan Reynolds,reynobr01,0.245,80,161,23,95,34,6,58,0.328,0.433
Austin Riley,rileyau01,0.24,60,118,23,63,21,1,38,0.306,0.46
Teoscar Hernandez,hernate01,0.241,55,120,23,71,25,6,29,0.289,0.455
Michael Harris,harrimi04,0.286,79,169,22,80,39,18,27,0.307,0.448
Hunter Goodman,goodmhu01,0.226,61,132,22,77,31,2,27,0.265,0.457
Andy Pages,pagesan01,0.281,80,168,22,76,33,10,36,0.311,0.445
Brandon Lowe,lowebr01,0.226,58,92,22,69,18,4,41,0.303,0.449
Randy Arozarena,arozara01,0.224,91,125,22,74,25,26,59,0.335,0.405
Max Muncy,muncyma02,0.266,44,93,22,65,17,1,21,0.292,0.499
Jake Burger,burgeja01,0.248,46,82,22,70,16,1,18,0.28,0.48
Yainer Diaz,diazya02,0.315,59,145,21,76,29,1,16,0.299,0.474
Marcell Ozuna,ozunama01,0.242,53,95,21,76,16,1,58,0.339,0.437
Adolis Garcia,garciad02,0.221,57,98,21,71,21,8,27,0.279,0.43
Kyle Stowers,stoweky01,0.217,59,107,21,68,15,3,40,0.305,0.413
Agustín Ramírez,ramirag01,0.252,71,118,21,69,30,15,39,0.305,0.451
Austin Wells,wellsau01,0.239,59,96,21,63,18,3,41,0.308,0.452
George Springer,springe01,0.262,86,139,21,58,13,19,59,0.371,0.455
Colton Cowser,cowseco01,0.193,55,81,21,55,17,13,45,0.297,0.418
Byron Buxton,buxtoby01,0.208,71,80,21,59,15,17,25,0.281,0.475
Josh Naylor,naylojo01,0.279,78,155,21,82,31,21,43,0.34,0.441
Kerry Carpenter,carpeke01,0.28,55,119,21,73,21,1,29,0.318,0.504
Max Muncy,muncyma01,0.178,53,50,21,52,8,2,61,0.352,0.409
Daulton Varsho,varshda01,0.206,46,69,21,51,10,6,34,0.297,0.466
Mark Vientos,vientma01,0.251,49,105,21,62,18,1,30,0.289,0.47
Rhys Hoskins,hoskirh01,0.206,37,62,21,50,12,1,41,0.315,0.418
Ketel Marte,marteke01,0.28,68,133,20,67,28,4,61,0.381,0.507
Zach Neto,netoza01,0.235,63,110,20,56,25,24,32,0.305,0.443
Anthony Volpe,volpean01,0.235,69,116,20,58,25,20,37,0.299,0.429
Nolan Gorman,gormano01,0.183,45,72,20,55,13,3,35,0.27,0.415
Jorge Soler,solerjo01,0.23,43,72,20,50,16,1,44,0.319,0.45
Lenyn Sosa,sosale01,0.266,46,120,20,53,21,2,13,0.273,0.431
Dansby Swanson,swansda01,0.221,79,140,20,73,28,15,42,0.299,0.391
Christopher Morel,morelch01,0.221,47,79,20,58,13,7,35,0.294,0.451
Jose Altuve,altuvjo01,0.298,79,146,19,64,25,12,43,0.358,0.447
Francisco Alvarez,alvarfr01,0.226,46,88,19,54,17,1,35,0.318,0.456
Ceddanne Rafaela,rafaece01,0.279,76,154,19,68,31,17,22,0.297,0.446
Josh Jung,jungjo01,0.251,58,109,19,62,25,2,24,0.295,0.436
Kody Clemens,clemeko01,0.214,43,68,19,51,13,4,30,0.295,0.448
Spencer Steer,steersp01,0.228,70,127,19,74,26,12,62,0.331,0.409
Gleyber Torres,torregl01,0.257,71,131,19,72,26,5,70,0.357,0.416
Logan O'Hoppe,ohopplo01,0.218,41,88,19,52,15,3,25,0.283,0.414
Drake Baldwin,baldwdr01,0.289,48,108,19,71,22,1,42,0.351,0.505
Wyatt Langford,langfwy01,0.229,71,94,19,64,25,19,59,0.34,0.446
Brooks Lee,leebr02,0.258,48,103,18,60,23,3,28,0.298,0.41
Trea Turner,turnetr01,0.329,95,172,18,65,33,27,33,0.347,0.477
Brandon Nimmo,nimmobr01,0.236,83,160,18,78,29,10,65,0.367,0.408
Ryan McMahon,mcmahry01,0.199,53,99,18,57,22,4,56,0.28,0.384
CJ Abrams,abramcj01,0.248,79,146,18,61,30,30,33,0.301,0.439
Matt Chapman,chapmma01,0.198,65,87,18,55,23,8,59,0.317,0.41
Willson Contreras,contrwi01,0.229,55,95,18,59,24,5,47,0.347,0.428
Jazz Chisholm,chishja01,0.213,45,81,18,50,11,27,40,0.291,0.458
Alex Bregman,bregmal01,0.274,62,122,18,64,27,3,55,0.361,0.443
Ezequiel Tovar,tovarez01,0.278,77,150,18,79,30,7,23,0.296,0.488
Alec Burleson,burleal01,0.283,60,130,18,62,25,5,32,0.327,0.452
Oneil Cruz,cruzon01,0.183,56,85,18,55,23,27,46,0.284,0.451
Will Smith,smithwi05,0.248,62,113,18,63,22,1,58,0.37,0.434
Jackson Holliday,hollija01,0.248,84,158,17,73,36,16,50,0.315,0.396
Luis Robert,roberlu01,0.247,50,88,17,52,17,25,30,0.288,0.426
Geraldo Perdomo,perdoge01,0.275,96,161,17,86,37,18,78,0.368,0.393
Matt McLain,mclaima01,0.245,63,113,17,59,19,17,40,0.316,0.404
Nolan Arenado,arenano01,0.279,63,116,17,76,28,2,36,0.306,0.428
Max Kepler,keplema01,0.237,48,86,16,51,14,2,30,0.301,0.402
Jac Caglianone,caglija01,0.252,49,97,16,58,19,5,28,0.301,0.384
Royce Lewis,lewisro02,0.254,51,102,16,49,18,9,30,0.307,0.439
Nick Castellanos,casteni01,0.243,60,130,16,72,26,4,24,0.285,0.425
Cam Smith,smithca07,0.262,74,142,16,70,27,12,41,0.331,0.403
Paul Goldschmidt,goldspa01,0.265,66,108,16,54,26,6,41,0.352,0.406
Bo Bichette,bichebo01,0.307,69,152,16,76,42,6,25,0.328,0.454
Jasson Domínguez,dominja01,0.255,70,129,16,63,26,21,44,0.333,0.38
Brenton Doyle,doylebr02,0.232,63,102,16,55,22,16,27,0.277,0.404
Lourdes Gurriel,gurrilo01,0.281,51,120,16,67,21,7,23,0.311,0.436
Jarren Duran,duranja01,0.261,74,137,16,70,29,12,45,0.311,0.489
Nathaniel Lowe,lowena01,0.243,54,101,16,58,18,2,49,0.347,0.401
Jordan Beck,beckjo01,0.241,59,128,16,52,30,21,34,0.291,0.413
Ronald Acuña,acunaro01,0.269,95,107,16,35,21,21,64,0.408,0.5
Mickey Moniak,moniami01,0.231,48,94,15,56,19,7,14,0.28,0.462
Mike Yastrzemski,yastrmi01,0.225,55,76,15,42,20,4,53,0.33,0.427
Josh Bell,belljo02,0.223,37,76,15,53,13,0,46,0.321,0.396
Colt Keith,keithco01,0.272,54,102,15,55,21,3,40,0.341,0.439
Marcus Semien,semiema01,0.23,64,103,15,58,21,9,43,0.295,0.376
JJ Bleday,bledajj01,0.233,54,85,15,45,21,2,46,0.346,0.42
Isaac Paredes,paredis01,0.236,49,105,15,59,18,1,54,0.352,0.426
Andrew Vaughn,vaughan01,0.255,45,106,15,62,21,1,24,0.292,0.419
Carlos Narváez,narvaca01,0.241,52,107,15,56,21,2,37,0.312,0.437
Bo Naylor,naylobo01,0.188,44,62,15,50,14,3,39,0.288,0.4
Maikel Garcia,garcima01,0.292,88,177,15,66,41,19,53,0.343,0.418
Luis Garcia,garcilu04,0.283,61,128,15,59,25,14,24,0.287,0.393
Jesus Sanchez,sanchje02,0.233,55,97,15,47,20,8,30,0.299,0.392
Jorge Polanco,polanjo01,0.226,50,89,15,54,16,4,32,0.302,0.417
Spencer Horwitz,horwisp01,0.268,48,94,15,49,19,1,44,0.357,0.441
