age,age_sq,n_seasons,prev_AVG,prev_R,prev_H,prev_HR,prev_RBI,prev_2B,prev_SB,prev_BB,prev_OBP,prev_SLG,prev_PA,prev_G,prev_SO,wavg3_AVG,wavg3_R,wavg3_H,wavg3_HR,wavg3_RBI,wavg3_2B,wavg3_SB,wavg3_BB,wavg3_OBP,wavg3_SLG,career_AVG,career_R,career_H,career_HR,career_RBI,career_2B,career_SB,career_BB,career_OBP,career_SLG,trend_AVG,trend_R,trend_H,trend_HR,trend_RBI,trend_2B,trend_SB,trend_BB,trend_OBP,trend_SLG
30,900,5,0.287,53,133,11,59.0,18,2.0,29,0.331,0.409,504.0,120,82.0,0.2825,59.5,143.66666666666666,13.833333333333332,78.0,28.833333333333332,3.333333333333333,34.83333333333333,0.33066666666666666,0.42666666666666664,0.27359999999999995,62.8,139.8,13.2,74.4,26.4,3.4,34.6,0.322,0.40679999999999994,0.006999999999999951,-9.0,-22.0,-4.0,-38.0,-26.0,-3.0,-11.0,-0.0010000000000000009,-0.039000000000000035
32,1024,9,0.273,64,118,18,62.0,28,1.0,51,0.36,0.462,495.0,114,70.0,0.26683333333333337,75.5,136.5,21.833333333333332,72.33333333333333,28.666666666666664,2.0,55.5,0.3455,0.4555,0.27266666666666667,82.11111111111111,134.77777777777777,22.555555555555557,78.11111111111111,31.22222222222222,4.777777777777778,67.0,0.3601111111111111,0.4787777777777778,0.013000000000000012,-15.0,-33.0,-8.0,-13.0,-2.0,-2.0,7.0,0.044999999999999984,0.009000000000000008
30,900,3,0.236,43,84,16,53.0,15,1.0,12,0.269,0.419,376.0,103,93.0,0.243,56.0,107.16666666666666,23.333333333333332,65.16666666666666,19.833333333333332,1.0,21.666666666666664,0.28633333333333333,0.4491666666666666,0.24533333333333332,60.666666666666664,113.66666666666667,26.333333333333332,69.66666666666667,22.0,1.0,25.0,0.293,0.4656666666666667,-0.014000000000000012,-25.0,-50.0,-13.0,-23.0,-8.0,0.0,-19.0,-0.03199999999999997,-0.041000000000000036
28,784,3,0.29,54,144,18,69.0,26,5.0,39,0.343,0.459,544.0,139,79.0,0.2753333333333333,56.33333333333333,133.83333333333331,17.333333333333336,66.5,23.0,6.0,35.0,0.32616666666666666,0.4345,0.26766666666666666,53.0,122.66666666666667,15.666666666666666,61.0,22.0,5.666666666666667,32.333333333333336,0.319,0.42300000000000004,0.020999999999999963,-17.0,-3.0,-3.0,-9.0,6.0,-4.0,4.0,0.029000000000000026,0.039000000000000035
29,841,2,0.261,78,137,34,90.0,25,4.0,56,0.343,0.523,592.0,155,139.0,0.2558,76.0,131.4,28.799999999999997,80.0,26.200000000000003,3.2,58.800000000000004,0.3398,0.4898,0.2545,75.5,130.0,27.5,77.5,26.5,3.0,59.5,0.339,0.48150000000000004,0.013000000000000012,5.0,14.0,13.0,25.0,-3.0,2.0,-7.0,0.008000000000000007,0.08300000000000002
26,676,2,0.234,83,133,21,63.0,30,22.0,59,0.306,0.404,630.0,152,179.0,0.2452,75.0,123.0,21.4,60.599999999999994,27.6,20.4,49.4,0.3104,0.4384,0.248,73.0,120.5,21.5,60.0,27.0,20.0,47.0,0.3115,0.447,-0.027999999999999997,20.0,25.0,-1.0,6.0,6.0,4.0,24.0,-0.01100000000000001,-0.08599999999999997
33,1089,8,0.264,97,129,35,83.0,21,24.0,41,0.327,0.551,542.0,126,148.0,0.2595,77.33333333333333,108.0,26.333333333333332,67.16666666666666,22.333333333333332,15.833333333333332,33.0,0.32416666666666666,0.5231666666666667,0.2525,60.0,86.75,19.125,49.875,20.5,13.5,27.875,0.3165,0.50525,-0.015000000000000013,35.0,30.0,17.0,27.0,-6.0,17.0,21.0,-0.008000000000000007,0.027000000000000024
30,900,3,0.236,52,74,5,36.0,18,49.0,47,0.339,0.347,370.0,126,98.0,0.23049999999999998,49.83333333333333,78.83333333333333,6.166666666666666,37.0,18.5,43.5,37.166666666666664,0.321,0.34249999999999997,0.22799999999999998,47.333333333333336,75.0,6.0,35.333333333333336,17.0,39.666666666666664,34.0,0.3216666666666667,0.338,0.00899999999999998,-1.0,-26.0,-4.0,-8.0,-6.0,5.0,20.0,0.05600000000000005,0.0
23,529,1,0.157,19,33,7,18.0,6,1.0,18,0.237,0.295,232.0,62,52.0,0.157,19.0,33.0,7.0,18.0,6.0,1.0,18.0,0.237,0.295,0.157,19.0,33.0,7.0,18.0,6.0,1.0,18.0,0.237,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1024,2,0.267,43,72,5,31.0,13,2.0,36,0.361,0.385,322.0,110,55.0,0.24020000000000002,43.0,73.19999999999999,6.2,33.8,13.4,4.8,42.8,0.3394,0.3538,0.2335,43.0,73.5,6.5,34.5,13.5,5.5,44.5,0.33399999999999996,0.346,0.067,0.0,-3.0,-3.0,-7.0,-1.0,-7.0,-17.0,0.05399999999999999,0.07800000000000001
